uid,name,id,game
578080,PUBG: BATTLEGROUNDS,1272.0,27789
1623730,Palworld,2061691.0,151665
304930,Unturned,10892.0,7878
105600,Terraria,13389.0,1879
291550,Brawlhalla,11320.0,10233
4000,Garry's Mod,15018.0,3278
252490,Rust,12325.0,3277
346110,ARK: Survival Evolved,9477.0,10239
413150,Stardew Valley,6873.0,17000
242760,The Forest,12556.0,7504
238960,Path of Exile,12608.0,1911
899770,Last Epoch,1715951.0,95118
945360,Among Us,1606754.0,111469
227300,Euro Truck Simulator 2,12812.0,3070
892970,Valheim,1602828.0,104967
739630,Phasmophobia,1859775.0,132516
227940,Heroes & Generals,12798.0,7435
252950,Rocket League®,12308.0,11198
108600,Project Zomboid,13372.0,3189
648800,Raft,184997.0,27082
322330,Don't Starve Together,10361.0,17832
477160,Human Fall Flat,4737.0,16992
251570,7 Days to Die,12359.0,5574
417910,Street Warriors Online,6714.0,34067
1116170,CyberCorp,1726827.0,120697
219990,Grim Dawn,12944.0,1907
221100,DayZ,12926.0,2117
526870,Satisfactory,1057206.0,90558
632360,Risk of Rain 2,1615017.0,28512
204360,Castle Crashers®,13249.0,3153
322170,Geometry Dash,10366.0,11642
224260,No More Room in Hell,12870.0,15407
275850,No Man's Sky,11738.0,3225
367520,Hollow Knight,8579.0,14593
301520,Robocraft,11009.0,7871
466240,Deceit,5003.0,24515
278360,A Story About My Uncle,11696.0,7211
264710,Subnautica,11998.0,9254
370910,Kathy Rain,8438.0,18997
275390,Guacamelee! Super Turbo Championship Edition,11748.0,8862
250900,The Binding of Isaac: Rebirth,12380.0,7789
700330,SCP: Secret Laboratory,191154.0,70385
219640,Chivalry: Medieval Warfare,12954.0,2358
244210,Assetto Corsa,12521.0,5597
1794680,Vampire Survivors,2223422.0,186725
363970,Clicker Heroes,8754.0,15563
1145360,Hades,1740294.0,113112
671860,BattleBit Remastered,72108.0,50531
427520,Factorio,6465.0,7046
391540,Undertale,7652.0,12517
646570,Slay the Spire,20683.0,40477
588650,Dead Cells,940.0,26855
268910,Cuphead,50215.0,9061
1118200,People Playground,1726758.0,122646
1049590,Eternal Return,1715938.0,135842
233450,Prison Architect,12720.0,1338
223710,Cry of Fear,12879.0,3084
513710,SCUM,3537.0,31712
677620,Splitgate,1715311.0,114684
397900,Business Tour - Board Game with Online Multiplayer,7409.0,34549
698780,Doki Doki Literature Club!,185493.0,55935
435150,Divinity: Original Sin 2 - Definitive Edition,6148.0,11800
548430,Deep Rock Galactic,2323.0,27134
294100,RimWorld,11231.0,9789
273110,Counter-Strike Nexon,11801.0,16957
555570,Infestation: The New Z,2055.0,30537
424840,Little Nightmares,6524.0,9174
